temperature_C,pH,time_min,enzyme_conc_mgml,substrate_mM,salt_mM,agitation_rpm,buffer_type,additive,operator,outcome
68.8,8.87,197.0,3.24,17.1,210.0,255.0,HEPES,glycerol,B,No
87.8,7.63,161.0,1.0,46.9,,227.0,HEPES,glycerol,B,Yes
79.3,6.71,150.0,3.82,8.6,414.0,101.0,PBS,glycerol,B,Yes
40.8,7.09,54.0,3.81,26.2,237.0,23.0,PBS,glycerol,A,No
46.0,8.49,142.0,3.63,5.5,384.0,40.0,PBS,none,B,No
86.1,6.38,19.0,2.28,,229.0,55.0,HEPES,glycerol,B,Yes
25.4,7.36,194.0,1.95,29.2,187.0,91.0,Tris,glycerol,A,No
82.5,7.73,231.0,2.16,40.4,273.0,134.0,PBS,none,A,Yes
80.8,6.42,206.0,0.26,14.8,101.0,278.0,PBS,glycerol,B,Yes
57.8,7.08,22.0,4.24,40.3,158.0,84.0,HEPES,none,B,Yes
46.2,8.06,88.0,2.76,35.4,353.0,270.0,HEPES,none,B,No
44.5,8.64,83.0,2.0,32.5,385.0,204.0,Tris,none,B,No
42.8,5.6,36.0,2.79,47.6,28.0,256.0,HEPES,DMSO,A,No
56.2,8.73,154.0,3.64,22.2,366.0,121.0,HEPES,none,B,No
60.3,5.02,193.0,1.97,21.3,409.0,1.0,PBS,DMSO,A,No
63.7,8.01,82.0,4.17,34.9,223.0,236.0,HEPES,none,A,Yes
94.7,8.24,208.0,4.61,41.9,31.0,74.0,Tris,DMSO,A,Yes
80.5,5.55,193.0,2.0,17.4,341.0,43.0,Tris,none,A,Yes
68.6,6.68,40.0,0.78,33.8,123.0,,HEPES,glycerol,A,Yes
94.2,8.26,186.0,3.83,11.2,322.0,206.0,HEPES,glycerol,B,Yes
40.1,5.06,213.0,4.97,28.0,188.0,64.0,PBS,none,A,No
36.2,7.51,55.0,0.83,38.7,319.0,80.0,PBS,glycerol,B,Yes
67.9,8.17,142.0,3.59,4.2,129.0,282.0,HEPES,glycerol,B,Yes
28.1,7.05,157.0,4.14,36.7,238.0,81.0,Tris,glycerol,A,Yes
27.5,7.9,150.0,4.61,,262.0,211.0,PBS,DMSO,A,No
61.0,5.91,32.0,0.7,48.0,316.0,39.0,HEPES,none,B,Yes
57.6,5.79,162.0,0.55,24.0,102.0,245.0,PBS,glycerol,B,No
89.2,6.45,155.0,4.94,21.0,481.0,35.0,PBS,none,A,Yes
69.0,5.72,199.0,0.67,36.3,145.0,155.0,Tris,none,B,Yes
61.0,6.38,195.0,0.97,26.6,153.0,11.0,HEPES,none,A,Yes
59.8,8.79,85.0,2.92,36.8,128.0,,HEPES,DMSO,A,No
42.3,7.29,176.0,2.29,5.2,34.0,254.0,Tris,DMSO,B,Yes
25.8,6.36,209.0,3.78,28.6,211.0,25.0,PBS,DMSO,A,No
38.5,6.09,215.0,1.03,28.3,386.0,82.0,HEPES,none,A,No
73.4,8.81,47.0,4.58,46.7,355.0,229.0,PBS,none,A,No
39.0,6.78,16.0,1.16,2.9,98.0,182.0,HEPES,glycerol,A,No
50.9,8.92,160.0,3.87,23.2,68.0,94.0,HEPES,glycerol,A,No
25.3,7.06,59.0,0.43,31.9,161.0,189.0,PBS,DMSO,A,No
